user_id,signup_date,last_login_date,plan_type,monthly_fee
U0191,11/11/2023,1/28/2024,Basic,20
U0192,6/9/2023,2/27/2024,Basic,20
U0193,4/6/2023,1/20/2024,Basic,20
U0194,8/21/2023,1/28/2024,Pro,50
U0195,6/29/2023,1/8/2024,Basic,20
U0196,4/23/2023,2/10/2024,Pro,50
U0197,11/14/2023,2/8/2024,Basic,20
U0198,2/21/2023,1/1/2024,Pro,50
U0199,9/25/2023,1/3/2024,Pro,50
U0200,10/22/2023,1/13/2024,Basic,20
U0201,4/23/2023,1/28/2024,Basic,20
U0202,4/11/2023,2/26/2024,Pro,50
U0203,4/23/2023,2/29/2024,Enterprise,100
U0204,3/22/2023,2/18/2024,Basic,20
U0205,7/6/2023,1/25/2024,Basic,20
U0206,4/23/2023,2/25/2024,Enterprise,100
U0207,1/2/2023,2/2/2024,Pro,50
U0208,5/10/2023,2/7/2024,Basic,20
U0209,8/8/2023,2/22/2024,Enterprise,100
U0210,2/23/2023,1/6/2024,Basic,20
U0211,12/9/2023,2/27/2024,Pro,50
U0212,8/12/2023,2/13/2024,Basic,20
U0213,8/13/2023,2/14/2024,Basic,20
U0214,5/6/2023,2/1/2024,Basic,20
U0215,5/10/2023,2/14/2024,Pro,50
U0216,2/22/2023,2/16/2024,Basic,20
U0217,6/21/2023,1/21/2024,Basic,20
U0218,8/6/2023,1/16/2024,Basic,20
U0219,6/9/2023,2/23/2024,Basic,20
U0220,7/17/2023,1/21/2024,Enterprise,100
U0221,9/4/2023,1/11/2024,Basic,20
U0222,11/20/2023,2/29/2024,Pro,50
U0223,7/22/2023,2/6/2024,Pro,50
U0224,7/3/2023,2/5/2024,Basic,20
U0225,5/3/2023,2/4/2024,Basic,20
U0226,9/12/2023,1/19/2024,Basic,20
U0227,10/21/2023,1/20/2024,Basic,20
U0228,10/7/2023,2/26/2024,Basic,20
U0229,11/21/2023,1/18/2024,Basic,20
U0230,4/8/2023,2/16/2024,Pro,50
U0231,7/17/2023,2/10/2024,Basic,20
U0232,8/28/2023,2/18/2024,Basic,20
U0233,5/24/2023,1/14/2024,Pro,50
U0234,4/7/2023,1/15/2024,Basic,20
U0235,7/20/2023,1/31/2024,Pro,50
U0236,5/4/2023,1/1/2024,Pro,50
U0237,7/6/2023,2/22/2024,Basic,20
U0238,11/22/2023,2/23/2024,Pro,50
U0239,12/15/2023,2/23/2024,Basic,20
U0240,9/16/2023,1/3/2024,Basic,20
U0241,5/28/2023,1/16/2024,Basic,20
U0242,9/9/2023,1/23/2024,Basic,20
U0243,12/12/2023,2/26/2024,Pro,50
U0244,5/27/2023,1/11/2024,Basic,20
U0245,5/28/2023,1/12/2024,Basic,20
U0246,12/18/2023,1/10/2024,Basic,20
U0247,7/18/2023,2/1/2024,Pro,50
U0248,11/4/2023,1/16/2024,Basic,20
U0249,5/8/2023,1/8/2024,Pro,50
U0250,2/8/2023,2/7/2024,Basic,20
U0251,12/4/2023,1/12/2024,Pro,50
U0252,12/26/2023,1/24/2024,Enterprise,100
U0253,5/9/2023,1/28/2024,Pro,50
U0254,9/24/2023,2/22/2024,Pro,50
U0255,5/31/2023,1/8/2024,Basic,20
U0256,10/25/2023,2/27/2024,Pro,50
U0257,4/9/2023,1/28/2024,Basic,20
U0258,9/20/2023,2/5/2024,Basic,20
U0259,9/9/2023,1/26/2024,Basic,20
U0260,5/24/2023,1/8/2024,Pro,50
U0261,12/12/2023,2/27/2024,Basic,20
U0262,4/22/2023,2/29/2024,Pro,50
U0263,3/1/2023,2/19/2024,Pro,50
U0264,1/2/2023,1/28/2024,Pro,50
U0265,10/31/2023,1/28/2024,Pro,50
U0266,9/11/2023,2/6/2024,Pro,50
U0267,5/20/2023,2/10/2024,Enterprise,100
U0268,2/6/2023,2/5/2024,Pro,50
U0269,6/9/2023,1/27/2024,Pro,50
U0270,1/9/2023,2/23/2024,Enterprise,100
U0271,8/21/2023,1/17/2024,Enterprise,100
U0272,4/9/2023,1/9/2024,Basic,20
U0273,5/27/2023,2/2/2024,Basic,20
U0274,10/31/2023,2/22/2024,Basic,20
U0275,7/27/2023,1/20/2024,Basic,20
U0276,5/11/2023,1/13/2024,Pro,50
U0277,6/1/2023,1/28/2024,Pro,50
U0278,2/23/2023,2/17/2024,Pro,50
U0279,4/30/2023,1/29/2024,Basic,20
U0280,6/10/2023,1/13/2024,Pro,50
U0281,4/26/2023,2/15/2024,Pro,50
U0282,3/16/2023,2/4/2024,Pro,50
U0283,4/23/2023,1/6/2024,Enterprise,100
U0284,4/14/2023,1/18/2024,Pro,50
U0285,12/6/2023,2/20/2024,Basic,20
U0286,9/11/2023,1/5/2024,Pro,50
U0287,8/15/2023,2/16/2024,Basic,20
U0288,4/22/2023,1/25/2024,Basic,20
U0289,4/9/2023,1/2/2024,Pro,50
U0290,6/2/2023,1/10/2024,Basic,20
U0291,12/15/2023,2/25/2024,Pro,50
U0292,12/4/2023,1/30/2024,Basic,20
U0293,7/13/2023,2/19/2024,Pro,50
U0294,11/6/2023,2/28/2024,Basic,20
U0295,6/12/2023,2/14/2024,Enterprise,100
U0296,7/27/2023,1/5/2024,Pro,50
U0297,6/18/2023,2/24/2024,Basic,20
U0298,6/10/2023,2/25/2024,Pro,50
U0299,3/9/2023,2/2/2024,Enterprise,100
U0300,10/16/2023,2/23/2024,Basic,20
U0301,10/4/2023,1/1/2024,Basic,20
U0302,10/31/2023,1/18/2024,Basic,20
U0303,5/15/2023,2/1/2024,Basic,20
U0304,7/14/2023,2/16/2024,Pro,50
U0305,5/8/2023,2/18/2024,Pro,50
U0306,2/2/2023,1/11/2024,Basic,20
U0307,6/25/2023,1/21/2024,Basic,20
U0308,1/22/2023,1/26/2024,Pro,50
U0309,8/26/2023,1/25/2024,Basic,20
U0310,6/7/2023,1/22/2024,Basic,20
U0311,2/7/2023,2/28/2024,Enterprise,100
U0312,8/18/2023,1/27/2024,Pro,50
U0313,12/31/2023,2/18/2024,Pro,50
U0314,2/20/2023,1/13/2024,Pro,50
U0315,9/21/2023,2/2/2024,Basic,20
U0316,10/10/2023,2/3/2024,Pro,50
U0317,1/27/2023,2/10/2024,Basic,20
U0318,8/14/2023,2/4/2024,Basic,20
U0319,10/4/2023,1/1/2024,Basic,20
U0320,10/13/2023,1/21/2024,Basic,20
U0321,4/7/2023,2/17/2024,Pro,50
U0322,10/11/2023,2/24/2024,Basic,20
U0323,11/13/2023,1/6/2024,Basic,20
U0324,10/31/2023,1/28/2024,Basic,20
U0325,5/27/2023,1/17/2024,Basic,20
U0326,1/4/2023,1/5/2024,Pro,50
U0327,2/4/2023,1/31/2024,Basic,20
U0328,7/11/2023,1/5/2024,Pro,50
U0329,2/18/2023,2/7/2024,Basic,20
U0330,1/17/2023,1/3/2024,Pro,50
U0331,6/21/2023,2/22/2024,Pro,50
U0332,8/8/2023,1/23/2024,Basic,20
U0333,6/7/2023,2/6/2024,Pro,50
U0334,2/15/2023,2/22/2024,Basic,20
U0335,1/6/2023,2/6/2024,Basic,20
U0336,4/9/2023,1/10/2024,Enterprise,100
U0337,8/21/2023,1/10/2024,Basic,20
U0338,2/6/2023,1/19/2024,Basic,20
U0339,10/7/2023,1/17/2024,Pro,50
U0340,12/15/2023,1/21/2024,Basic,20
U0341,10/29/2023,1/14/2024,Pro,50
U0342,6/30/2023,1/9/2024,Basic,20
U0343,4/5/2023,2/15/2024,Enterprise,100
U0344,4/9/2023,1/1/2024,Pro,50
U0345,7/7/2023,2/20/2024,Pro,50
U0346,4/26/2023,2/14/2024,Enterprise,100
U0347,7/10/2023,1/13/2024,Basic,20
U0348,9/10/2023,1/4/2024,Enterprise,100
U0349,6/10/2023,1/1/2024,Basic,20
U0350,9/13/2023,2/18/2024,Basic,20
U0351,11/19/2023,2/9/2024,Basic,20
U0352,5/8/2023,2/1/2024,Basic,20
U0353,1/18/2023,2/3/2024,Basic,20
U0354,10/8/2023,1/28/2024,Pro,50
U0355,8/11/2023,1/31/2024,Pro,50
U0356,2/23/2023,1/8/2024,Enterprise,100
U0357,2/27/2023,2/8/2024,Basic,20
U0358,11/19/2023,1/26/2024,Pro,50
U0359,12/26/2023,2/27/2024,Basic,20
U0360,6/23/2023,2/3/2024,Basic,20
U0361,10/7/2023,2/23/2024,Basic,20
U0362,4/24/2023,2/23/2024,Basic,20
U0363,10/15/2023,1/3/2024,Pro,50
U0364,12/8/2023,2/28/2024,Pro,50
U0365,5/31/2023,2/19/2024,Basic,20
U0366,5/7/2023,1/12/2024,Basic,20
U0367,6/4/2023,1/1/2024,Basic,20
U0368,9/30/2023,2/23/2024,Basic,20
U0369,4/14/2023,2/13/2024,Enterprise,100
U0370,10/26/2023,1/5/2024,Basic,20
U0371,9/3/2023,1/30/2024,Basic,20
U0372,6/25/2023,1/30/2024,Basic,20
U0373,2/8/2023,2/28/2024,Pro,50
U0374,6/19/2023,2/26/2024,Enterprise,100
U0375,9/4/2023,1/17/2024,Pro,50
U0376,1/26/2023,2/17/2024,Pro,50
U0377,12/21/2023,2/16/2024,Basic,20
U0378,11/2/2023,1/23/2024,Basic,20
U0379,1/13/2023,1/15/2024,Enterprise,100
U0380,11/12/2023,2/6/2024,Pro,50
U0381,11/9/2023,1/21/2024,Pro,50
U0382,2/5/2023,1/14/2024,Pro,50
U0383,6/22/2023,1/2/2024,Pro,50
U0384,1/20/2023,1/11/2024,Pro,50
U0385,11/17/2023,2/20/2024,Enterprise,100
U0386,9/21/2023,2/8/2024,Enterprise,100
U0387,5/22/2023,2/7/2024,Pro,50
U0388,5/23/2023,2/29/2024,Pro,50
U0389,4/2/2023,2/3/2024,Basic,20
U0390,12/20/2023,2/7/2024,Pro,50
U0391,11/18/2023,2/19/2024,Basic,20
U0392,10/15/2023,2/3/2024,Pro,50
U0393,8/3/2023,1/18/2024,Enterprise,100
U0394,12/8/2023,1/30/2024,Pro,50
U0395,2/20/2023,1/15/2024,Basic,20
U0396,6/2/2023,1/27/2024,Basic,20
U0397,7/5/2023,2/20/2024,Basic,20
U0398,3/4/2023,2/3/2024,Pro,50
U0399,7/9/2023,2/21/2024,Basic,20
U0400,5/5/2023,2/26/2024,Basic,20
U0401,5/30/2023,2/7/2024,Basic,20
U0402,11/10/2023,2/2/2024,Pro,50
U0403,2/27/2023,1/24/2024,Pro,50
U0404,12/8/2023,1/15/2024,Basic,20
U0405,11/1/2023,2/29/2024,Basic,20
U0406,6/29/2023,1/30/2024,Basic,20
U0407,6/19/2023,2/24/2024,Pro,50
U0408,11/22/2023,2/11/2024,Pro,50
U0409,9/28/2023,2/20/2024,Basic,20
U0410,2/23/2023,1/17/2024,Pro,50
U0411,4/11/2023,1/5/2024,Basic,20
U0412,9/21/2023,1/29/2024,Pro,50
U0413,2/22/2023,1/4/2024,Basic,20
U0414,3/1/2023,1/10/2024,Basic,20
U0415,4/18/2023,2/25/2024,Basic,20
U0416,1/5/2023,1/17/2024,Pro,50
U0417,4/13/2023,1/10/2024,Pro,50
U0418,7/15/2023,1/17/2024,Basic,20
U0419,9/19/2023,2/29/2024,Pro,50
U0420,12/31/2023,1/20/2024,Pro,50
U0421,12/16/2023,1/24/2024,Basic,20
U0422,2/16/2023,1/5/2024,Basic,20
U0423,12/21/2023,2/3/2024,Pro,50
U0424,11/7/2023,1/6/2024,Basic,20
U0425,11/4/2023,2/22/2024,Basic,20
U0426,5/24/2023,1/2/2024,Enterprise,100
U0427,9/26/2023,1/13/2024,Basic,20
U0428,5/4/2023,2/12/2024,Basic,20
U0429,4/16/2023,2/12/2024,Basic,20
U0430,6/7/2023,2/17/2024,Enterprise,100
U0431,5/27/2023,1/11/2024,Basic,20
U0432,5/25/2023,2/20/2024,Basic,20
U0433,4/30/2023,2/16/2024,Basic,20
U0434,11/15/2023,2/26/2024,Basic,20
U0435,10/2/2023,1/23/2024,Basic,20
U0436,4/2/2023,2/24/2024,Basic,20
U0437,2/27/2023,1/16/2024,Pro,50
U0438,12/12/2023,1/31/2024,Basic,20
U0439,8/17/2023,1/11/2024,Basic,20
U0440,4/27/2023,2/23/2024,Basic,20
U0441,11/14/2023,1/16/2024,Basic,20
U0442,10/6/2023,1/8/2024,Basic,20
U0443,5/7/2023,1/4/2024,Pro,50
U0444,5/9/2023,2/9/2024,Basic,20
U0445,2/27/2023,1/4/2024,Basic,20
U0446,5/2/2023,2/25/2024,Basic,20
U0447,1/1/2023,1/25/2024,Pro,50
U0448,8/27/2023,1/3/2024,Pro,50
U0449,10/17/2023,2/1/2024,Pro,50
U0450,4/6/2023,1/3/2024,Basic,20
U0451,5/6/2023,1/27/2024,Enterprise,100
U0452,4/28/2023,1/29/2024,Basic,20
U0453,2/17/2023,2/1/2024,Basic,20
U0454,3/30/2023,2/19/2024,Basic,20
U0455,8/25/2023,2/27/2024,Basic,20
U0456,9/29/2023,2/20/2024,Enterprise,100
U0457,7/8/2023,1/19/2024,Pro,50
U0458,7/11/2023,1/21/2024,Basic,20
U0459,3/10/2023,1/5/2024,Pro,50
U0460,10/5/2023,1/18/2024,Enterprise,100
U0461,12/15/2023,1/28/2024,Pro,50
U0462,9/4/2023,2/11/2024,Pro,50
U0463,3/17/2023,1/22/2024,Enterprise,100
U0464,6/3/2023,1/21/2024,Enterprise,100
U0465,5/24/2023,1/6/2024,Pro,50
U0466,3/27/2023,1/1/2024,Basic,20
U0467,7/4/2023,1/5/2024,Basic,20
U0468,10/12/2023,2/10/2024,Pro,50
U0469,8/8/2023,1/12/2024,Basic,20
U0470,3/10/2023,1/26/2024,Pro,50
U0471,2/16/2023,2/15/2024,Basic,20
U0472,4/4/2023,2/3/2024,Basic,20
U0473,8/26/2023,2/18/2024,Basic,20
U0474,7/23/2023,1/14/2024,Basic,20
U0475,8/6/2023,1/26/2024,Enterprise,100
U0476,12/7/2023,2/14/2024,Pro,50
U0477,2/8/2023,1/27/2024,Pro,50
U0478,4/10/2023,1/9/2024,Pro,50
U0479,10/16/2023,1/26/2024,Basic,20
U0480,9/11/2023,2/26/2024,Basic,20
U0481,8/10/2023,2/16/2024,Pro,50
U0482,12/23/2023,2/26/2024,Basic,20
U0483,1/23/2023,1/22/2024,Basic,20
U0484,9/7/2023,2/16/2024,Basic,20
U0485,1/10/2023,2/25/2024,Basic,20
U0486,9/3/2023,1/30/2024,Enterprise,100
U0487,11/21/2023,2/12/2024,Pro,50
U0488,4/10/2023,2/17/2024,Basic,20
U0489,10/17/2023,1/17/2024,Pro,50
U0490,6/29/2023,1/26/2024,Pro,50
U0491,8/11/2023,2/5/2024,Basic,20
U0492,9/7/2023,1/1/2024,Pro,50
U0493,5/27/2023,1/8/2024,Pro,50
U0494,4/6/2023,2/18/2024,Basic,20
U0495,9/14/2023,2/4/2024,Basic,20
U0496,11/21/2023,2/21/2024,Basic,20
U0497,1/4/2023,1/15/2024,Basic,20
U0498,1/16/2023,2/16/2024,Basic,20
U0499,10/7/2023,2/25/2024,Pro,50
U0500,12/2/2023,1/22/2024,Basic,20
